question,choice1,choice2,choice3,choice4,answer,category,difficulty
"우리나라의 전통 세시풍속 중 칠월칠석에 관련된 이야기는?","심청전","단군신화","견우와 직녀","춘향전",3,"상식",2
"'봄' 협주곡에서 봄을 표현하기 위해 흉내 낸 소리는?","천둥소리","새소리","바람소리","물소리",2,"예술",3
"태권도 겨루기에서 얼굴을 발로 차 득점하면 몸통보다 점수가 어떠한가?","같다","낮다","0점","높다",4,"스포츠",3
"세계에서 가장 넓은 초원 지대인 스텝이 펼쳐진 대륙은?","남아메리카","아프리카","유라시아","오세아니아",3,"지리",1
"인체에서 소변을 저장했다가 몸 밖으로 내보내는 기관은?","간","신장","위","방광",4,"과학",2
"조선의 성리학을 대표하는 두 학자 이황과 이이 중 '동호문답'을 쓴 사람은?","서경덕","이황","이이","조식",3,"역사",2
"'변신'의 작가 카프카는 어느 도시 출신인가?","베를린","빈","프라하","부다페스트",3,"문학",2
"어떤 수에 0을 더하면 결과는?","0","그 수 그대로","1","2배",2,"수학",1
"우리나라의 전통 놀이 중 여성들이 밟고 뛰는 널판 놀이는?","제기차기","그네뛰기","윷놀이","널뛰기",4,"상식",2
"'키스'를 그린 클림트는 어느 나라 화가인가?","독일","오스트리아","네덜란드","프랑스",2,"예술",2
"올림픽에서 4년마다 여름과 겨울을 번갈아 개최하는데, 이 둘의 개최 간격은?","2년","4년","6년","1년",1,"스포츠",2
"세계에서 가장 큰 규모의 담수 습지 판타나우가 있는 대륙은?","아시아","아프리카","남아메리카","유럽",3,"지리",3
"물체가 서로 미끄러질 때 방해하는 힘을 무엇이라 하는가?","중력","자기력","부력","마찰력",4,"과학",1
"조선을 세운 이성계를 도와 새 왕조의 기틀을 마련한 학자는?","이색","정몽주","정도전","권근",3,"역사",2
"'노트르담의 꼽추'의 주인공 종지기의 이름은?","콰지모도","에스메랄다","프롤로","페뷔스",1,"문학",3
"삼각형의 내각 중 하나가 100도이면 이 삼각형은?","예각삼각형","둔각삼각형","직각삼각형","정삼각형",2,"수학",2
"우리나라의 전통 음식 중 얼음을 넣어 시원하게 먹는 여름 국수는?","불고기","비빔밥","냉면","김밥",3,"상식",1
"'봄의 제전'의 초연 때 벌어진 일로 유명한 것은?","취소","관객의 소동","조용한 감상","기립박수",2,"예술",2
"축구에서 골키퍼가 아닌 선수가 손으로 공을 만지면?","코너킥","골","핸드볼(반칙)","정상 플레이",3,"스포츠",1
"세계에서 가장 큰 규모의 빙하가 있는 대륙 남극의 얼음은 주로 무엇인가?","바닷물","소금물","담수(민물)","기름",3,"지리",1
"인체에서 우리가 맛을 느끼는 감각 기관은?","눈","코","혀","귀",3,"과학",1
"조선 시대에 편찬된 우리나라 최고의 의학서는?","향약집성방","방약합편","의방유취","동의보감",4,"역사",2
"'적과 흑'의 작가 스탕달의 국적은?","프랑스","러시아","영국","독일",1,"문학",2
"두 각의 크기의 합이 180도인 두 각을 무엇이라 하는가?","맞꼭지각","여각","보각","동위각",3,"수학",3
"우리나라의 전통 놀이 중 실을 두 손에 걸어 모양을 만드는 것은?","실뜨기","제기차기","팽이치기","윷놀이",1,"상식",1
"'환희의 송가'가 들어 있는 베토벤 교향곡 9번의 별칭은?","합창","운명","전원","영웅",1,"예술",3
"골프에서 한 홀의 기준 타수보다 3타 적게 마치는 것은?","알바트로스","이글","버디","보기",1,"스포츠",2
"세계에서 가장 넓은 나라부터 순서대로 나열할 때 첫 번째는?","캐나다","러시아","중국","미국",2,"지리",2
"물체의 온도가 높아지면 부피는 대체로 어떻게 되는가?","사라진다","커진다","변화 없다","작아진다",2,"과학",2
"조선의 왕세자가 교육받던 곳을 무엇이라 하는가?","집현전","세자시강원","성균관","홍문관",2,"역사",3
"우리나라 국민이 지켜야 할 최고 법규범을 무엇이라 하는가?","조례","헌법","규칙","관습",2,"상식",2
"세계에서 가장 큰 규모의 만리장성이 위치한 대륙은?","북아메리카","유럽","아프리카","아시아",4,"지리",1
"물질의 상태가 아닌 것은?","고체","광체","기체","액체",2,"과학",1
"조선 시대 관리를 선발하던 시험 제도는?","과거","음서","천거","도목",1,"역사",1
"'위대한 개츠비'를 쓴 피츠제럴드의 국적은?","미국","영국","프랑스","캐나다",1,"문학",1
"원의 둘레를 무엇이라 부르는가?","지름","원주","반지름","넓이",2,"수학",1
"우리나라의 대표적 전통 음식으로 소를 넣어 반달 모양으로 빚는 떡은?","경단","송편","화전","떡국",2,"상식",1
"'해바라기'를 그린 화가는 어느 시대 사람인가?","17세기","16세기","19세기","20세기",3,"예술",1
"축구에서 상대 선수의 공을 빼앗는 수비 동작을 무엇이라 하는가?","슈팅","드리블","패스","태클",4,"스포츠",1
"세계에서 가장 큰 규모의 열대 초원이 있는 아프리카의 대표적 초원은?","세렝게티","사하라","칼라하리","나미브",1,"지리",1
"인체에서 손상된 부위를 아물게 하는 혈액 성분은?","백혈구","적혈구","혈소판","혈장",3,"과학",1
"고구려의 시조는?","박혁거세","주몽(동명성왕)","온조","김수로",2,"역사",1
"'데미안'과 '수레바퀴 아래서'를 쓴 작가는?","토마스 만","실러","괴테","헤르만 헤세",4,"문학",1
"삼각형의 넓이가 밑변 6, 높이 4일 때 값은?","10","12","14","24",2,"수학",1
"우리나라의 전통 명절 설날에 웃어른께 하는 인사를 무엇이라 하는가?","성묘","차례","제사","세배",4,"상식",1
"'월광 소나타'의 정식 명칭에 포함된 조성은?","올림다단조","다장조","가단조","바장조",1,"예술",3
"수영에서 출발대에서 물로 뛰어드는 종목이 아닌 것은?","접영","배영","평영","자유형",2,"스포츠",3
"세계에서 가장 넓은 나라 러시아와 국경을 접하지 않는 나라는?","카자흐스탄","중국","몽골","일본",4,"지리",2
"물이 수증기가 되었다가 다시 물이 되어 내리는 자연 현상은?","증산","광합성","물의 순환","침식",3,"과학",2
"조선의 세종이 만든 악기로 소리의 높낮이를 조율하는 기준이 된 것은?","거문고","편경","가야금","대금",2,"역사",1
"'죄와 벌'에서 주인공이 저지른 범죄는?","방화","절도","살인","사기",3,"문학",2
"직육면체의 면은 모두 몇 개인가?","6개","4개","8개","12개",1,"수학",1
"우리나라의 대표적 전통 놀이로 하늘에 띄우는 것은?","윷","팽이","연","제기",3,"상식",1
"'봄' 협주곡을 포함한 '사계'는 총 몇 악장의 협주곡 모음인가?","2개","6개","4개의 협주곡","8개",3,"예술",2
"야구에서 타자가 공을 치지 않고 그냥 두는데 스트라이크 존을 벗어난 공은?","아웃","스트라이크","파울","볼",4,"스포츠",1
"세계에서 가장 인구가 많은 나라 중 하나로 갠지스강 삼각주가 있는 나라는?","방글라데시","인도","중국","파키스탄",1,"지리",1
"인체에서 심장 박동을 스스로 조절하는 부위를 무엇이라 하는가?","판막","좌심실","대동맥","동방결절",4,"과학",3
"조선 후기 서민 문화가 발달하면서 유행한 소설의 형태는?","한문 소설","가사","시조","한글 소설",4,"역사",3
"'노인과 바다'에서 노인을 따르는 소년의 이름은?","마놀린","산티아고","페드로","호세",1,"문학",3
"정오각형의 한 외각의 크기는?","108도","60도","90도","72도",4,"수학",3
"우리나라 전통 악기 중 활로 켜서 연주하는 두 줄 현악기는?","해금","가야금","거문고","대금",1,"상식",3
"'천지창조'가 있는 시스티나 성당은 어느 도시에 있는가?","피렌체","로마(바티칸)","베네치아","밀라노",2,"예술",2
"복싱에서 상대를 옆에서 돌려치는 공격은?","잽","스트레이트","어퍼컷","훅",4,"스포츠",2
"세계에서 가장 큰 규모의 열대우림 아마존은 몇 개국에 걸쳐 있는가?","한 나라","세 나라","두 나라","여러 나라",4,"지리",3
"물체가 뜨거워지면 입자들의 움직임은 어떻게 되는가?","느려진다","사라진다","멈춘다","활발해진다",4,"과학",2
"조선의 제7대 왕으로 계유정난을 일으켜 왕이 된 인물은?","단종","성종","예종","세조",4,"역사",2
"'파우스트'는 몇 부로 구성된 작품인가?","3부","1부","4부","2부",4,"문학",3
"어떤 수를 제곱하면 항상 어떤 값이 되는가?","1","음수","0 이상","항상 짝수",3,"수학",3
"우리나라의 전통 놀이 강강술래는 주로 어떤 형태로 하는가?","손잡고 원을 그리며 돈다","줄을 당긴다","막대를 던진다","공을 찬다",1,"상식",2
"'봄의 소리 왈츠'는 어떤 춤곡 형식인가?","왈츠","폴카","마주르카","탱고",1,"예술",1
"태권도 겨루기에서 한 경기는 보통 몇 회전(라운드)으로 하는가?","7회전","3회전","5회전","1회전",2,"스포츠",1
"세계에서 가장 큰 규모의 삼각주가 있는 나일강의 삼각주는 어느 도시 근처인가?","룩소르","알렉산드리아","카이로","아스완",3,"지리",3
"인체에서 팔과 다리를 움직이게 하는 것은?","근육과 뼈","혈액","피부","지방",1,"과학",1
"고려 시대 몽골 침입에 맞서 부처의 힘을 빌리고자 만든 것은?","직지","팔만대장경","삼국유사","향약구급방",2,"역사",2
"'적과 흑'과 같은 사실주의 문학이 발달한 세기는?","16세기","19세기","17세기","20세기",2,"문학",1
"정사각형의 둘레가 20cm이면 한 변의 길이는?","5cm","10cm","15cm","20cm",1,"수학",2
"우리나라의 대표적 전통 술로 맑게 걸러낸 것은?","청주","막걸리","소주","동동주",1,"상식",2
"'모나리자'의 배경에 그려진 것은?","바다","궁전","자연 풍경","도시",3,"예술",2
"양궁에서 한 발에 얻을 수 있는 최고 점수는?","9점","12점","8점","10점",4,"스포츠",2
"세계에서 가장 큰 규모의 대양 태평양과 대서양을 잇는 인공 수로는?","수에즈 운하","코린토스 운하","키일 운하","파나마 운하",4,"지리",3
"물이 끓는점에 도달하면 상태는 어떻게 변하는가?","그대로 있다","고체로 변한다","기체로 변한다","사라진다",3,"과학",1
"조선 시대 궁궐을 지키던 군대를 무엇이라 하는가?","금군","의금부","포도청","사헌부",1,"역사",2
"'허클베리 핀의 모험'은 어떤 강을 따라가는 여정을 그리는가?","템스강","미시시피강","센강","라인강",2,"문학",2
"삼각형에서 세 각이 모두 예각이면 무슨 삼각형인가?","정삼각형","예각삼각형","둔각삼각형","직각삼각형",2,"수학",2
"우리나라의 전통 예절 중 명절에 조상께 지내는 간단한 제사는?","차례","제사","성묘","세배",1,"상식",2
"'백조의 호수'는 어떤 작곡가의 발레 음악인가?","차이콥스키","스트라빈스키","프로코피예프","라흐마니노프",1,"예술",2
"수영에서 자유형은 주로 어떤 자세로 하는가?","서서","등을 대고","옆으로","엎드려서",4,"스포츠",2
"세계에서 가장 넓은 나라 러시아의 국토는 몇 개의 시간대에 걸쳐 있는가?","두 개","여러 개","한 개","세 개",2,"지리",2
"인체에서 뼈의 개수가 가장 많은 부위는?","가슴","머리","척추","손과 발",4,"과학",1
"조선을 세운 태조 이성계의 성씨는?","최","김","이","박",3,"역사",1
"'변신'은 주로 어떤 분위기의 작품으로 평가되는가?","부조리하고 우울함","밝고 희망적임","코믹함","낭만적임",1,"문학",3
"삼각형의 넓이는 밑변과 높이의 곱을 무엇으로 나눈 것인가?","1","3","4","2",4,"수학",1
"우리나라의 전통 놀이 중 발로 물건을 차며 노는 것은?","제기차기","팽이치기","윷놀이","연날리기",1,"상식",1
"'봄' 협주곡을 작곡한 비발디는 어떤 종교의 사제였는가?","정교회","개신교","가톨릭","이슬람",3,"예술",1
"골프에서 한 라운드의 표준 파(par)는 보통 몇 타인가?","100타","60타","80타","72타",4,"스포츠",3
"세계에서 가장 큰 규모의 열대우림이 있는 강 유역은?","아마존강 유역","콩고강 유역","메콩강 유역","나일강 유역",1,"지리",2
"물체가 빛을 받아 그림자가 생기는 것은 빛의 어떤 성질 때문인가?","직진","반사","굴절","분산",1,"과학",2
"조선 시대 왕의 명령을 백성에게 알리던 관청은?","사헌부","의정부","승정원","홍문관",3,"역사",3
"'분노의 포도'에서 이주민들이 향한 지역은?","캘리포니아","텍사스","뉴욕","오하이오",1,"문학",3
"정삼각형의 한 각의 크기를 세 번 더하면?","90도","180도","270도","360도",2,"수학",1
"우리나라의 전통 명절 중 밤이 가장 긴 날에 지내는 것은?","추분","하지","춘분","동지",4,"상식",2
"'인상, 해돋이'로 이름이 붙은 미술 사조를 대표하는 화가는?","모네","마네","드가","르누아르",1,"예술",2
"복싱에서 한 경기의 승패를 심판이 점수로 판정하는 것을 무엇이라 하는가?","무효","KO","실격","판정승",4,"스포츠",2
"세계에서 가장 넓은 대양 태평양의 평균 깊이는 대략 어느 정도인가?","약 1만 m","약 100m","약 500m","약 4000m",4,"지리",3
"인체에서 몸의 균형을 잡는 데 관여하는 귀 속 기관은?","고막","달팽이관","반고리관","이소골",3,"과학",1
"고려 말 최영 장군이 요동 정벌을 추진할 때 반대한 인물은?","정도전","이성계","정몽주","최무선",2,"역사",3
"'천로역정'은 어떤 종교적 주제를 담은 작품인가?","불교","기독교 신앙","이슬람","유교",2,"문학",2
"두 평행선 사이의 거리는 어디서나?","무한하다","달라진다","0이다","일정하다",4,"수학",2
"우리나라의 전통 놀이인 팽이치기에서 팽이를 돌리는 도구는?","막대","공","채(끈)","연",3,"상식",1
"'게르니카'는 흑백으로 그려졌는데 어떤 재료를 사용했는가?","유화","수채화","파스텔","목탄",1,"예술",3
"태권도에서 품새란 무엇을 의미하는가?","정해진 동작의 연속","자유 겨루기","격파","호신술",1,"스포츠",2
"세계에서 가장 큰 규모의 사막인 사하라의 크기는 대략 어느 대륙과 비슷한가?","유럽 전체","미국 본토","호주","일본",2,"지리",3
"물질을 계속 잘게 나눌 때 성질을 유지하는 가장 작은 입자는?","분자","원자핵","전자","양성자",1,"과학",2
"조선의 정조가 규장각과 함께 개혁을 위해 육성한 친위 부대는?","금위영","장용영","훈련도감","어영청",2,"역사",2
"'롤리타'와 같은 작가가 쓴 작품이 아닌 것은?","말하라, 기억이여","죄와 벌","프닌","창백한 불꽃",2,"문학",1
"각도가 정확히 90도인 두 직선의 관계는?","교차","평행","일치","수직",4,"수학",1
"우리나라의 전통 의복에서 발에 신는 버선과 함께 신는 것은?","슬리퍼","고무신","구두","운동화",2,"상식",2
"'봄' '여름' '가을' '겨울' 협주곡 각각에는 무엇이 붙어 있는가?","그림","이야기","소네트(시)","가사",3,"예술",2
"수영에서 접영은 어떤 특징이 있는가?","두 팔을 동시에 물 위로 젓는다","한 팔씩 젓는다","등을 대고 한다","서서 한다",1,"스포츠",1
"세계에서 가장 큰 규모의 산호초 그레이트 배리어 리프가 있는 나라는?","호주","인도네시아","필리핀","몰디브",1,"지리",2
"물체를 가열하면 대체로 부피가 늘어나는 현상을 무엇이라 하는가?","열팽창","응고","증발","승화",1,"과학",2
"조선의 대표적 궁중 무용으로 봉황을 형상화한 춤은?","처용무","무고","춘앵전","봉래의",4,"역사",2
"'노트르담의 꼽추'는 어느 도시를 배경으로 하는가?","파리","런던","로마","마드리드",1,"문학",2
"분수에서 분모가 될 수 없는 수는?","1","0","2","10",2,"수학",2
"우리나라의 전통 놀이로 얼음판에서 팽이를 돌리거나 썰매를 타는 계절은?","봄","겨울","여름","가을",2,"상식",1
"'키스'와 함께 클림트가 사용한 특징적 재료는?","은박","금박","동판","유리",2,"예술",2
"골프에서 파(par)보다 1타 적게 마치는 것은?","보기","파","이글","버디",4,"스포츠",1
"세계에서 가장 넓은 나라 러시아의 대부분 국토가 속한 기후는?","온대","열대","건조","냉대(아한대)",4,"지리",3
"물체가 정지해 있거나 등속으로 움직이려는 성질을 무엇이라 하는가?","마찰","가속도","관성","중력",3,"과학",2
"조선 시대 신하가 임금에게 올리는 글을 무엇이라 하는가?","방문","교지","격문","상소",4,"역사",2
"우리나라에서 자동차가 다니는 도로의 통행 방향은?","좌측통행","우측통행","중앙통행","자유통행",2,"상식",2
"세계에서 가장 넓은 대양에 접한 아시아 국가가 아닌 것은?","스위스","일본","중국","필리핀",1,"지리",1
"물체가 받는 힘이 없을 때 운동 상태는 어떻게 되는가?","멈춘다","느려진다","빨라진다","그대로 유지된다",4,"과학",1
"조선 시대 한양의 정문으로 남쪽에 있던 문은?","흥인지문","숭례문","돈의문","숙정문",2,"역사",1
"'위대한 개츠비'에서 개츠비가 사랑한 여인의 이름은?","데이지","조던","머틀","캐서린",1,"문학",1
"정사각형의 넓이가 36이면 한 변의 길이는?","18","9","12","6",4,"수학",2
"우리나라의 대표적 전통 음식으로 배추를 소금에 절여 만든 것은?","젓갈","된장","고추장","김치",4,"상식",1
"'별이 빛나는 밤'을 그린 화가가 주로 사용한 기법은?","가는 선","점묘법","두꺼운 붓 터치","콜라주",3,"예술",3
"축구 경기에서 한 팀이 교체할 수 있는 선수 수는 보통 몇 명까지인가?","여러 명(규정에 따라)","0명","1명","20명",1,"스포츠",1
"세계에서 가장 큰 규모의 열대우림 아마존이 있는 국가 브라질의 공용어는?","영어","스페인어","프랑스어","포르투갈어",4,"지리",1
"인체에서 몸을 보호하는 가장 바깥 기관은?","심장","뼈","피부","근육",3,"과학",1
"고구려의 대표적 문화유산인 무용총 벽화가 그려진 곳은?","성곽","궁궐","사찰","고분(무덤)",4,"역사",1
"'노인과 바다'는 어느 바다를 배경으로 하는가?","북해","지중해","발트해","카리브해",4,"문학",3
"직사각형의 가로가 5, 세로가 3이면 넓이는?","10","8","15","20",3,"수학",1
"우리나라의 전통 명절 추석에 먹는 대표 음식은?","화전","떡국","송편","팥죽",3,"상식",1
"'봄의 소리 왈츠'를 작곡한 요한 슈트라우스 2세의 별명은?","피아노의 시인","왈츠의 왕","가곡의 왕","음악의 아버지",2,"예술",3
"수영에서 선수들이 나뉘어 헤엄치는 구역을 무엇이라 하는가?","레인","코너","베이스","마운드",1,"스포츠",1
"세계에서 가장 큰 규모의 담수호 슈피리어호는 어느 대륙에 있는가?","유럽","북아메리카","아시아","아프리카",2,"지리",1
"물이 얼면 부피가 늘어나 밀도는 어떻게 되는가?","커진다","변화 없다","작아진다","0이 된다",3,"과학",3
"조선의 세종대왕이 훈민정음을 반포한 해는?","1500년","1418년","1392년","1446년",4,"역사",1
"'죄와 벌'의 주인공은 어떤 신분이었는가?","가난한 대학생","귀족","상인","군인",1,"문학",1
"각기둥에서 밑면이 오각형이면 옆면은 몇 개인가?","6개","4개","5개","10개",3,"수학",3
"우리나라의 전통 놀이 중 정월 대보름에 논둑에 불을 놓는 것은?","제기차기","윷놀이","연날리기","쥐불놀이",4,"상식",1
"'천지창조'를 그린 미켈란젤로의 대표적 조각 작품은?","모세","다비드","비너스","생각하는 사람",2,"예술",1
"야구에서 한 경기는 보통 몇 이닝으로 진행되는가?","4이닝","9이닝","7이닝","12이닝",2,"스포츠",1
"세계에서 가장 넓은 나라 러시아의 동쪽 끝은 어느 대양에 접하는가?","북극해","대서양","태평양","인도양",3,"지리",3
"인체에서 혈액을 정화하고 소변을 만드는 한 쌍의 기관은?","콩팥(신장)","허파","간","심장",1,"과학",2
"조선 후기 정조 때 활약한 실학자로 '열하일기'를 쓴 사람은?","박지원","정약용","박제가","홍대용",1,"역사",3
"'허클베리 핀의 모험'에서 헉과 함께 뗏목 여행을 하는 인물은?","폴리","톰","짐","베키",3,"문학",1
"각도가 90도보다 작은 각을 무엇이라 하는가?","직각","평각","둔각","예각",4,"수학",1
"우리나라의 전통 악기 중 타악기에 속하는 것은?","대금","장구","해금","가야금",2,"상식",2
"'모나리자'는 어떤 기법으로 인물의 윤곽을 부드럽게 표현했는가?","스푸마토","임파스토","프레스코","콜라주",1,"예술",2
"태권도에서 손을 곧게 뻗어 지르는 기본 공격을 무엇이라 하는가?","지르기","막기","차기","꺾기",1,"스포츠",2
"세계에서 가장 큰 규모의 폭포 중 아프리카에 있는 것은?","나이아가라","빅토리아 폭포","이과수","앙헬",2,"지리",3
"물이 수증기로 변할 때 열을 흡수하는가, 방출하는가?","방출한다","흡수한다","변화 없다","알 수 없다",2,"과학",3
"조선 시대 왕이 나랏일을 논의하던 최고 회의 기구는?","홍문관","승정원","의정부","사헌부",3,"역사",3
"'분노의 포도'를 쓴 존 스타인벡이 받은 상은?","노벨문학상","퓰리처상만","부커상","공쿠르상",1,"문학",3
"정육면체의 꼭짓점은 모두 몇 개인가?","6개","8개","10개","12개",2,"수학",1
"우리나라의 전통 세시풍속에서 단오에 하는 놀이는?","팽이치기","연날리기","쥐불놀이","그네뛰기",4,"상식",2
"'봄' 협주곡을 포함한 '사계'의 원어 제목은?","호두까기 인형","봄의 제전","전람회의 그림","레 콰트로 스타조니",4,"예술",1
"골프에서 공을 홀에 넣기 위해 그린에서 굴리는 타법은?","드라이브","칩샷","퍼팅","벙커샷",3,"스포츠",2
"세계에서 가장 큰 규모의 반도 아라비아 반도가 접하지 않는 바다는?","아라비아해","발트해","페르시아만","홍해",2,"지리",3
"인체에서 세균과 싸워 몸을 지키는 혈액 세포는?","적혈구","혈소판","백혈구","혈장",3,"과학",2
"조선의 태종이 왕권 강화를 위해 실시한 제도로 신분 증명서는?","전분육등법","호패법","과전법","연분구등법",2,"역사",2
"'파우스트'에서 파우스트가 만난 순수한 여인의 이름은?","마르가레테","헬레나","그레트헨","이졸데",3,"문학",3
"원의 넓이를 구하는 공식은?","반지름 × 2","파이 × 지름","2 × 파이 × 반지름","파이 × 반지름의 제곱",4,"수학",2
"우리나라의 전통 놀이 중 두 사람이 마주 서서 널을 밟는 것은?","윷놀이","널뛰기","줄다리기","연날리기",2,"상식",1
"'절규'를 그린 뭉크의 작품은 주로 어떤 감정을 표현하는가?","평화","기쁨","불안과 공포","사랑",3,"예술",2
"펜싱에서 상반신만 유효 타격 부위로 하는 종목은?","에페","레이피어","사브르","플뢰레",4,"스포츠",2
"세계에서 가장 넓은 나라 러시아를 흐르는 큰 강이 아닌 것은?","레나강","나일강","볼가강","예니세이강",2,"지리",3
"물체가 열을 받아 온도가 올라가는 정도를 나타내는 것은?","길이","온도","무게","부피",2,"과학",1
"고려 시대에 과거 제도를 처음 도입한 왕은?","태조","경종","성종","광종",4,"역사",2
"'변신'에서 주인공이 벌레로 변한 뒤 가족의 반응은?","기뻐한다","점점 냉담해진다","반긴다","변화 없다",2,"문학",1
"삼각형에서 밑변과 높이가 같은 두 삼각형의 넓이는?","같다","다르다","0이다","알 수 없다",1,"수학",2
"우리나라의 전통 의복 중 겨울에 입는 솜을 넣은 옷을 무엇이라 하는가?","저고리","솜옷(누비옷)","치마","한복",2,"상식",2
"'백조의 호수'의 주인공 왕자의 이름은?","지크프리트","로트바르트","오데트","오딜",1,"예술",3
"수영에서 가장 마지막에 배우는 어려운 영법으로 여겨지는 것은?","평영","자유형","배영","접영",4,"스포츠",2
"세계에서 가장 넓은 사막 사하라가 있는 아프리카 대륙의 북부 기후는?","건조 기후","열대 우림","냉대","한대",1,"지리",2
"인체에서 산소가 폐로 들어가는 통로 역할을 하는 기관은?","기관(숨길)","식도","혈관","척수",1,"과학",2
"조선 시대 궁중에서 왕과 왕비가 생활하던 공간을 무엇이라 하는가?","별당","편전","정전","침전",4,"역사",3
"'노트르담의 꼽추'를 쓴 빅토르 위고는 어느 나라 작가인가?","영국","독일","프랑스","러시아",3,"문학",2
"이등변삼각형에서 크기가 같은 두 각을 무엇이라 하는가?","외각","꼭지각","밑각","중심각",3,"수학",2
"우리나라의 전통 놀이 중 나무 팽이를 채로 쳐서 돌리는 것은?","연날리기","제기차기","윷놀이","팽이치기",4,"상식",1
"'게르니카'를 그린 피카소는 어느 나라 출신인가?","프랑스","스페인","이탈리아","독일",2,"예술",2
"양궁에서 활시위를 당겼다 놓는 동작을 무엇이라 하는가?","에이밍","드로잉","릴리스","앵커링",3,"스포츠",1
"세계에서 가장 큰 규모의 열대우림이 배출하는 산소량이 많아 붙은 별명은?","세계의 지붕","지구의 허파","불의 고리","죽음의 계곡",2,"지리",2
"물체에 힘을 가하면 모양이 변했다가 원래대로 돌아오려는 성질은?","중력","관성","마찰","탄성",4,"과학",2
"조선의 실학자 정약용이 유배지에서 저술 활동을 한 지역은?","평양","한양","경주","강진",4,"역사",2
"'적과 흑'과 '죄와 벌'은 모두 어떤 문학 사조에 속하는가?","사실주의","낭만주의","고전주의","초현실주의",1,"문학",3
"직각삼각형에서 직각을 제외한 두 각의 합은 몇 도인가?","90도","180도","45도","60도",1,"수학",2
"우리나라의 전통 명절 설날의 다른 이름은?","원단(설)","한식","단오","동지",1,"상식",2
"'봄의 제전'을 작곡한 스트라빈스키는 어느 나라 출신인가?","독일","프랑스","이탈리아","러시아",4,"예술",1
"태권도에서 발을 이용해 상대의 얼굴이나 몸통을 차는 기술을 통칭하는 것은?","꺾기","지르기","발차기","막기",3,"스포츠",1
"세계에서 가장 큰 규모의 나라 러시아의 국기 색깔에 없는 것은?","초록","흰색","파랑","빨강",1,"지리",2
"인체에서 음식물을 잘게 부수는 소화가 처음 시작되는 곳은?","입","위","소장","대장",1,"과학",1
"조선 시대 왕이 국가의 큰일을 하늘과 조상에게 알리던 제사는?","종묘제례","차례","성묘","시제",1,"역사",3
"'허클베리 핀의 모험'과 '톰 소여의 모험'의 작가 마크 트웨인의 국적은?","프랑스","영국","캐나다","미국",4,"문학",2
"소수도 합성수도 아닌 자연수는?","3","2","1","4",3,"수학",3
"우리나라의 전통 놀이 중 종이를 접어 만든 것을 바닥에 쳐서 뒤집는 것은?","팽이치기","딱지치기","윷놀이","제기차기",2,"상식",1
"'키스'를 그린 클림트가 활동한 예술 운동은?","입체주의","인상주의","야수주의","분리파(빈 세제션)",4,"예술",2
"골프에서 첫 타를 치는 구역을 무엇이라 하는가?","페어웨이","티잉 그라운드","그린","벙커",2,"스포츠",3
"세계에서 가장 큰 규모의 삼각주를 이루는 강 중 인도를 흐르는 것은?","미시시피강","나일강","갠지스강","양쯔강",3,"지리",2
"물체가 서로 다른 온도로 접촉하면 열은 어떻게 이동하는가?","이동 없음","낮은 곳에서 높은 곳으로","높은 곳에서 낮은 곳으로","양쪽으로 균등",3,"과학",3
"조선을 세운 이성계는 어느 나라의 장수 출신이었는가?","고려","신라","백제","발해",1,"역사",2
"'파우스트'의 작가 괴테가 활동한 나라는?","독일","프랑스","영국","이탈리아",1,"문학",2
"1부터 100까지 자연수 중 10의 배수는 모두 몇 개인가?","20개","5개","1개","10개",4,"수학",2
"우리나라의 대표적 전통 놀이로 강강술래를 하는 명절은?","한식","설날","단오","추석",4,"상식",2
"'만종'을 그린 밀레는 어느 나라 화가인가?","이탈리아","프랑스","네덜란드","스페인",2,"예술",2
"복싱에서 체급을 나누는 기준은 무엇인가?","경력","키","나이","몸무게",4,"스포츠",2
"세계에서 가장 큰 규모의 대양 태평양의 이름 뜻은?","평온한 바다","넓은 바다","깊은 바다","따뜻한 바다",1,"지리",2
"물이 얼음, 물, 수증기로 변하는 것은 무엇에 따른 변화인가?","맛","온도","색깔","무게",2,"과학",1
"조선의 세종 때 백성의 억울함을 알리기 위해 궁궐 앞에 설치한 것은?","앙부일구","측우기","자격루","신문고",4,"역사",2
"'롤리타'와 '창백한 불꽃'을 쓴 나보코프가 주로 사용한 언어는?","스페인어","프랑스어","독일어","영어와 러시아어",4,"문학",3
"삼각형의 세 내각의 크기가 60도로 모두 같으면 무슨 삼각형인가?","정삼각형","직각삼각형","이등변삼각형","둔각삼각형",1,"수학",1
"우리나라의 전통 가옥에서 여름을 시원하게 보내기 위한 넓은 마루는?","대청마루","온돌방","부엌","사랑방",1,"상식",2
"'봄의 소리 왈츠'가 속한 음악 시대는?","바로크","낭만주의","고전주의","현대",2,"예술",1
"수영 경기에서 출발 신호에 반응해 물로 뛰어드는 것을 무엇이라 하는가?","스트로크","턴","킥","스타트",4,"스포츠",2
"세계에서 가장 넓은 나라 러시아의 수도는?","모스크바","상트페테르부르크","노보시비르스크","블라디보스토크",1,"지리",1
"물체가 빛을 반사하지 않고 모두 흡수하면 무슨 색으로 보이는가?","흰색","검정","빨강","투명",2,"과학",2
"조선 시대에 한글로 쓰인 최초의 소설로 알려진 작품의 작가는?","정약용","김만중","허균","박지원",3,"역사",2
"불이 났을 때 신고하는 전화번호는?","112","119","114","110",2,"상식",1
